rank,town,federal_state,longitude,latitude,inhabitants,time,interval,temperature_2m,relative_humidity_2m,apparent_temperature,is_day,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,pressure_msl,surface_pressure,timezone,recorded_at,recorded_date,recorded_time
52,Gmunden,Oberösterreich,13.79944,47.91861,13231,iso8601,900,-5.2,95,-8.3,0,1.8,37,4.0,0.0,0.0,0.0,0.0,45,99,1014.7,959.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
53,Vöcklabruck,Oberösterreich,13.64861,48.0,12989,iso8601,900,-5.2,91,-8.6,0,3.2,63,8.3,0.0,0.0,0.0,0.0,3,100,1014.6,958.7,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
54,Neunkirchen,Niederösterreich,15.96667,47.71667,12940,iso8601,900,-3.0,62,-6.3,0,0.4,180,6.5,0.0,0.0,0.0,0.0,0,0,1015.3,947.1,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
55,Ried im Innkreis,Oberösterreich,13.48833,48.21139,12766,iso8601,900,-4.9,85,-9.1,0,8.4,110,15.5,0.0,0.0,0.0,0.0,3,100,1014.0,959.9,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
56,Knittelfeld,Steiermark,14.81667,47.21667,12570,iso8601,900,-6.6,65,-10.6,0,4.1,285,7.9,0.0,0.0,0.0,0.0,0,0,1018.1,936.3,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
57,Hollabrunn,Niederösterreich,16.08056,48.55528,12514,iso8601,900,-3.0,73,-7.0,0,6.5,146,11.2,0.0,0.0,0.0,0.0,0,0,1015.2,986.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
58,Bad Vöslau,Niederösterreich,16.21667,47.96667,12478,iso8601,900,-2.3,74,-5.7,0,3.0,166,6.1,0.0,0.0,0.0,0.0,0,0,1015.7,983.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
59,Götzis,Vorarlberg,9.6375,47.32806,12405,iso8601,900,-0.4,72,-3.6,0,3.0,76,5.4,0.0,0.0,0.0,0.0,3,100,1011.4,959.0,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
60,Brunn am Gebirge,Niederösterreich,16.28333,48.08333,12310,iso8601,900,-1.2,63,-5.1,0,6.2,159,13.3,0.0,0.0,0.0,0.0,0,0,1015.6,986.9,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
61,Gänserndorf,Niederösterreich,16.71667,48.33333,12285,iso8601,900,-2.5,85,-6.5,0,8.3,162,12.6,0.0,0.0,0.0,0.0,0,0,1016.0,995.1,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
62,Enns,Oberösterreich,14.47972,48.21306,12184,iso8601,900,-4.0,86,-7.2,0,2.4,63,7.6,0.0,0.0,0.0,0.0,0,0,1014.9,978.6,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
63,Rankweil,Vorarlberg,9.63917,47.27278,12157,iso8601,900,1.2,75,-2.2,0,6.1,93,11.5,0.0,0.0,0.0,0.0,3,100,1010.9,954.1,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
64,Weiz,Steiermark,15.61667,47.21667,12116,iso8601,900,-2.3,70,-6.2,0,6.2,339,11.9,0.0,0.0,0.0,0.0,0,0,1016.7,953.7,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
65,Lienz,Tirol,12.7625,46.83167,12107,iso8601,900,-2.5,61,-5.9,0,1.3,34,4.0,0.0,0.0,0.0,0.0,3,100,1017.7,935.2,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
66,Groß-Enzersdorf,Niederösterreich,16.58333,48.2,12088,iso8601,900,-1.9,77,-5.8,0,7.7,143,11.9,0.0,0.0,0.0,0.0,0,0,1015.8,996.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
67,Mistelbach,Niederösterreich,16.56667,48.56667,12044,iso8601,900,-3.8,88,-7.0,0,2.5,172,5.0,0.0,0.0,0.0,0.0,0,0,1015.8,988.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
68,Ebreichsdorf,Niederösterreich,16.4,47.95,12003,iso8601,900,-1.4,69,-5.3,0,6.6,135,12.6,0.0,0.0,0.0,0.0,0,0,1015.6,989.3,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
69,Deutschlandsberg,Steiermark,15.21667,46.81667,11757,iso8601,900,-1.0,51,-4.9,0,4.7,266,10.4,0.0,0.0,0.0,0.0,0,0,1016.6,970.9,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
70,Seekirchen am Wallersee,Salzburg,13.13333,47.91667,11708,iso8601,900,-4.2,81,-7.8,0,4.7,32,9.4,0.0,0.0,0.0,0.0,3,100,1013.5,945.4,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
71,Sankt Johann im Pongau,Salzburg,13.27972,47.34972,11643,iso8601,900,-3.6,48,-7.6,0,3.8,197,29.5,0.0,0.0,0.0,0.0,3,99,1014.4,859.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
72,Gleisdorf,Steiermark,15.7,47.1,11533,iso8601,900,-1.8,76,-4.6,0,0.4,360,2.9,0.0,0.0,0.0,0.0,0,0,1016.5,973.0,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
73,Imst,Tirol,10.73806,47.25139,11183,iso8601,900,-2.2,57,-6.3,0,6.5,357,10.1,0.0,0.0,0.0,0.0,3,100,1012.2,902.6,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
74,Waidhofen an der Ybbs,Niederösterreich,14.78333,47.98333,11062,iso8601,900,-4.5,67,-8.9,0,8.2,113,19.4,0.0,0.0,0.0,0.0,0,0,1014.7,951.1,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
75,Trofaiach,Steiermark,15.01667,47.43333,11030,iso8601,900,-4.3,55,-8.2,0,3.3,6,6.1,0.0,0.0,0.0,0.0,0,0,1017.2,930.7,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
76,Völkermarkt,Kärnten,14.63667,46.59667,10902,iso8601,900,-2.5,71,-5.8,0,2.1,239,2.9,0.0,0.0,0.0,0.0,0,0,1017.9,962.0,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
77,Zwettl,Niederösterreich,15.16667,48.6,10771,iso8601,900,-6.7,83,-10.3,0,3.1,216,5.8,0.0,0.0,0.0,0.0,0,0,1015.6,947.0,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
78,Bischofshofen,Salzburg,13.41667,47.41667,10743,iso8601,900,-5.9,57,-10.2,0,5.4,53,14.0,0.0,0.0,0.0,0.0,3,100,1015.8,881.9,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
79,Lauterach,Vorarlberg,9.72778,47.4575,10568,iso8601,900,-0.7,85,-3.7,0,2.9,330,4.0,0.0,0.0,0.0,0.0,3,100,1011.9,962.0,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
80,Fürstenfeld,Steiermark,16.08333,47.05,10391,iso8601,900,-0.8,85,-3.6,0,1.5,194,5.0,0.0,0.0,0.0,0.0,0,0,1016.7,985.3,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
81,Zell am See,Salzburg,12.79639,47.32389,10227,iso8601,900,-10.1,71,-13.8,0,1.3,236,2.9,0.0,0.0,0.0,0.0,3,100,1018.4,922.1,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
82,Altmünster,Oberösterreich,13.75,47.88333,9998,iso8601,900,-4.2,74,-7.8,0,3.2,297,10.4,0.0,0.0,0.0,0.0,3,100,1013.7,925.3,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
83,Purkersdorf,Niederösterreich,16.18333,48.2,9970,iso8601,900,-3.0,58,-7.4,0,7.9,133,16.6,0.0,0.0,0.0,0.0,0,0,1015.4,961.8,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
84,Sankt Johann in Tirol,Tirol,12.4375,47.51667,9891,iso8601,900,-4.4,87,-7.6,0,1.8,323,3.2,0.0,0.0,0.0,0.0,3,100,1014.8,931.9,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
85,Sierning,Oberösterreich,14.2625,48.00333,9867,iso8601,900,-5.1,98,-7.9,0,0.5,45,2.2,0.0,0.0,0.0,0.0,45,95,1014.7,960.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
86,Laakirchen,Oberösterreich,13.81667,47.98333,9766,iso8601,900,-5.4,95,-8.5,0,1.5,45,3.6,0.0,0.0,0.0,0.0,45,96,1014.7,960.3,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
87,Judenburg,Steiermark,14.66667,47.16667,9607,iso8601,900,-5.2,71,-9.3,0,5.8,248,10.8,0.0,0.0,0.0,0.0,0,1,1017.8,930.9,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
88,Voitsberg,Steiermark,15.15,47.04167,9547,iso8601,900,-3.0,65,-6.5,0,2.3,252,4.7,0.0,0.0,0.0,0.0,0,0,1017.1,967.5,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
89,Köflach,Steiermark,15.1,47.01667,9489,iso8601,900,-3.7,54,-7.9,0,6.1,208,11.2,0.0,0.0,0.0,0.0,0,0,1017.1,945.8,GMT,2025-11-23T20:13:30.871092,2025-11-23,20:13:30
